trial_number,metric,status,duration_sec,params,timestamp
23,nan,pruned,1.47,"{""fusion_method"": ""rrf"", ""rrf_k"": 60, ""score_normalization"": ""none"", ""top_k_final"": 20, ""top_k_rerank"": 32, ""top_k_retriever"": 32, ""use_multiv"": true, ""use_sparse"": true, ""w_dense"": 1.0, ""w_multiv"": 0.0, ""w_sparse"": 0.0}",2026-01-07T15:01:11.752519Z
24,nan,pruned,0.34,"{""fusion_method"": ""rrf"", ""rrf_k"": 60, ""score_normalization"": ""none"", ""top_k_final"": 20, ""top_k_rerank"": 32, ""top_k_retriever"": 32, ""use_multiv"": true, ""use_sparse"": true, ""w_dense"": 1.0, ""w_multiv"": 0.0, ""w_sparse"": 0.0}",2026-01-07T15:01:13.801903Z
25,nan,pruned,0.28,"{""fusion_method"": ""rrf"", ""rrf_k"": 60, ""score_normalization"": ""none"", ""top_k_final"": 1, ""top_k_rerank"": 32, ""top_k_retriever"": 32, ""use_multiv"": true, ""use_sparse"": true, ""w_dense"": 1.0, ""w_multiv"": 0.0, ""w_sparse"": 0.0}",2026-01-07T15:01:15.370893Z
26,nan,pruned,0.32,"{""fusion_method"": ""rrf"", ""rrf_k"": 60, ""score_normalization"": ""none"", ""top_k_final"": 3, ""top_k_rerank"": 50, ""top_k_retriever"": 200, ""use_multiv"": false, ""use_sparse"": false, ""w_dense"": 1.0, ""w_multiv"": 0.0, ""w_sparse"": 0.0}",2026-01-07T15:01:17.077634Z
27,nan,pruned,0.19,"{""fusion_method"": ""rrf"", ""rrf_k"": 60, ""score_normalization"": ""none"", ""top_k_final"": 10, ""top_k_rerank"": 64, ""top_k_retriever"": 100, ""use_multiv"": true, ""use_sparse"": true, ""w_dense"": 1.0, ""w_multiv"": 0.0, ""w_sparse"": 0.0}",2026-01-07T15:01:18.517781Z
28,0.720310,complete,1.98,"{""fusion_method"": ""rrf"", ""rrf_k"": 60, ""score_normalization"": ""minmax_per_query"", ""top_k_final"": 20, ""top_k_rerank"": 32, ""top_k_retriever"": 64, ""use_multiv"": true, ""use_sparse"": false, ""w_dense"": 1.0, ""w_multiv"": 0.0, ""w_sparse"": 0.0}",2026-01-07T15:01:21.668491Z
29,nan,pruned,3.56,"{""fusion_method"": ""weighted_sum"", ""rrf_k"": 60, ""score_normalization"": ""minmax_per_query"", ""top_k_final"": 1, ""top_k_rerank"": 32, ""top_k_retriever"": 64, ""use_multiv"": true, ""use_sparse"": false, ""w_dense"": 0.2827807059013075, ""w_multiv"": 0.7008542054533988, ""w_sparse"": 0.016365088645293728}",2026-01-07T15:01:42.519001Z
30,nan,pruned,0.22,"{""fusion_method"": ""rrf"", ""rrf_k"": 60, ""score_normalization"": ""minmax_per_query"", ""top_k_final"": 20, ""top_k_rerank"": 32, ""top_k_retriever"": 64, ""use_multiv"": true, ""use_sparse"": false, ""w_dense"": 1.0, ""w_multiv"": 0.0, ""w_sparse"": 0.0}",2026-01-07T15:01:50.541281Z
31,nan,pruned,0.37,"{""fusion_method"": ""rrf"", ""rrf_k"": 60, ""score_normalization"": ""minmax_per_query"", ""top_k_final"": 20, ""top_k_rerank"": 32, ""top_k_retriever"": 64, ""use_multiv"": true, ""use_sparse"": false, ""w_dense"": 1.0, ""w_multiv"": 0.0, ""w_sparse"": 0.0}",2026-01-07T15:01:51.977065Z
32,nan,pruned,0.30,"{""fusion_method"": ""rrf"", ""rrf_k"": 60, ""score_normalization"": ""zscore_per_query"", ""top_k_final"": 20, ""top_k_rerank"": 32, ""top_k_retriever"": 64, ""use_multiv"": true, ""use_sparse"": false, ""w_dense"": 1.0, ""w_multiv"": 0.0, ""w_sparse"": 0.0}",2026-01-07T15:01:53.480456Z
33,nan,pruned,0.33,"{""fusion_method"": ""rrf"", ""rrf_k"": 60, ""score_normalization"": ""minmax_per_query"", ""top_k_final"": 20, ""top_k_rerank"": 32, ""top_k_retriever"": 128, ""use_multiv"": true, ""use_sparse"": false, ""w_dense"": 1.0, ""w_multiv"": 0.0, ""w_sparse"": 0.0}",2026-01-07T15:01:55.386236Z
34,nan,pruned,0.37,"{""fusion_method"": ""weighted_sum"", ""rrf_k"": 60, ""score_normalization"": ""zscore_per_query"", ""top_k_final"": 20, ""top_k_rerank"": 64, ""top_k_retriever"": 64, ""use_multiv"": false, ""use_sparse"": false, ""w_dense"": 0.20874777859955923, ""w_multiv"": 0.19773664529939133, ""w_sparse"": 0.5935155761010493}",2026-01-07T15:01:57.655826Z
35,nan,pruned,0.46,"{""fusion_method"": ""weighted_sum"", ""rrf_k"": 60, ""score_normalization"": ""minmax_per_query"", ""top_k_final"": 3, ""top_k_rerank"": 16, ""top_k_retriever"": 200, ""use_multiv"": false, ""use_sparse"": false, ""w_dense"": 0.02238996567558092, ""w_multiv"": 0.49432918066648185, ""w_sparse"": 0.48328085365793727}",2026-01-07T15:01:59.722471Z
36,nan,pruned,0.25,"{""fusion_method"": ""rrf"", ""rrf_k"": 60, ""score_normalization"": ""none"", ""top_k_final"": 20, ""top_k_rerank"": 32, ""top_k_retriever"": 32, ""use_multiv"": true, ""use_sparse"": false, ""w_dense"": 1.0, ""w_multiv"": 0.0, ""w_sparse"": 0.0}",2026-01-07T15:02:01.575831Z
37,nan,pruned,0.30,"{""fusion_method"": ""rrf"", ""rrf_k"": 60, ""score_normalization"": ""zscore_per_query"", ""top_k_final"": 20, ""top_k_rerank"": 32, ""top_k_retriever"": 32, ""use_multiv"": false, ""use_sparse"": false, ""w_dense"": 1.0, ""w_multiv"": 0.0, ""w_sparse"": 0.0}",2026-01-07T15:02:03.074154Z
38,nan,pruned,0.36,"{""fusion_method"": ""weighted_sum"", ""rrf_k"": 60, ""score_normalization"": ""none"", ""top_k_final"": 1, ""top_k_rerank"": 64, ""top_k_retriever"": 100, ""use_multiv"": true, ""use_sparse"": false, ""w_dense"": 0.22965205219890675, ""w_multiv"": 0.21523341339932153, ""w_sparse"": 0.5551145344017717}",2026-01-07T15:02:05.366272Z
39,nan,pruned,0.51,"{""fusion_method"": ""rrf"", ""rrf_k"": 60, ""score_normalization"": ""minmax_per_query"", ""top_k_final"": 5, ""top_k_rerank"": 32, ""top_k_retriever"": 150, ""use_multiv"": true, ""use_sparse"": true, ""w_dense"": 1.0, ""w_multiv"": 0.0, ""w_sparse"": 0.0}",2026-01-07T15:02:07.071143Z
40,nan,pruned,1.05,"{""fusion_method"": ""rrf"", ""rrf_k"": 60, ""score_normalization"": ""none"", ""top_k_final"": 10, ""top_k_rerank"": 16, ""top_k_retriever"": 32, ""use_multiv"": false, ""use_sparse"": false, ""w_dense"": 1.0, ""w_multiv"": 0.0, ""w_sparse"": 0.0}",2026-01-07T15:02:09.481941Z
41,nan,pruned,0.45,"{""fusion_method"": ""rrf"", ""rrf_k"": 60, ""score_normalization"": ""none"", ""top_k_final"": 20, ""top_k_rerank"": 32, ""top_k_retriever"": 32, ""use_multiv"": true, ""use_sparse"": true, ""w_dense"": 1.0, ""w_multiv"": 0.0, ""w_sparse"": 0.0}",2026-01-07T15:02:11.248109Z
42,nan,pruned,0.33,"{""fusion_method"": ""rrf"", ""rrf_k"": 60, ""score_normalization"": ""none"", ""top_k_final"": 20, ""top_k_rerank"": 32, ""top_k_retriever"": 32, ""use_multiv"": true, ""use_sparse"": true, ""w_dense"": 1.0, ""w_multiv"": 0.0, ""w_sparse"": 0.0}",2026-01-07T15:02:13.234356Z
43,nan,pruned,0.28,"{""fusion_method"": ""rrf"", ""rrf_k"": 60, ""score_normalization"": ""none"", ""top_k_final"": 20, ""top_k_rerank"": 32, ""top_k_retriever"": 32, ""use_multiv"": true, ""use_sparse"": true, ""w_dense"": 1.0, ""w_multiv"": 0.0, ""w_sparse"": 0.0}",2026-01-07T15:02:14.698628Z
44,nan,pruned,0.32,"{""fusion_method"": ""rrf"", ""rrf_k"": 60, ""score_normalization"": ""none"", ""top_k_final"": 20, ""top_k_rerank"": 32, ""top_k_retriever"": 32, ""use_multiv"": true, ""use_sparse"": true, ""w_dense"": 1.0, ""w_multiv"": 0.0, ""w_sparse"": 0.0}",2026-01-07T15:02:16.418713Z
45,nan,pruned,0.27,"{""fusion_method"": ""rrf"", ""rrf_k"": 60, ""score_normalization"": ""none"", ""top_k_final"": 5, ""top_k_rerank"": 50, ""top_k_retriever"": 150, ""use_multiv"": true, ""use_sparse"": true, ""w_dense"": 1.0, ""w_multiv"": 0.0, ""w_sparse"": 0.0}",2026-01-07T15:02:18.028201Z
46,nan,pruned,0.31,"{""fusion_method"": ""weighted_sum"", ""rrf_k"": 60, ""score_normalization"": ""none"", ""top_k_final"": 20, ""top_k_rerank"": 64, ""top_k_retriever"": 128, ""use_multiv"": true, ""use_sparse"": true, ""w_dense"": 0.416926027066077, ""w_multiv"": 0.5794845358811728, ""w_sparse"": 0.0035894370527502534}",2026-01-07T15:02:20.331863Z
47,nan,pruned,0.27,"{""fusion_method"": ""rrf"", ""rrf_k"": 60, ""score_normalization"": ""none"", ""top_k_final"": 20, ""top_k_rerank"": 32, ""top_k_retriever"": 32, ""use_multiv"": true, ""use_sparse"": false, ""w_dense"": 1.0, ""w_multiv"": 0.0, ""w_sparse"": 0.0}",2026-01-07T15:02:22.035066Z
48,nan,pruned,0.32,"{""fusion_method"": ""rrf"", ""rrf_k"": 60, ""score_normalization"": ""minmax_per_query"", ""top_k_final"": 3, ""top_k_rerank"": 32, ""top_k_retriever"": 100, ""use_multiv"": true, ""use_sparse"": true, ""w_dense"": 1.0, ""w_multiv"": 0.0, ""w_sparse"": 0.0}",2026-01-07T15:02:23.703656Z
49,nan,pruned,0.31,"{""fusion_method"": ""rrf"", ""rrf_k"": 60, ""score_normalization"": ""none"", ""top_k_final"": 20, ""top_k_rerank"": 50, ""top_k_retriever"": 64, ""use_multiv"": true, ""use_sparse"": true, ""w_dense"": 1.0, ""w_multiv"": 0.0, ""w_sparse"": 0.0}",2026-01-07T15:02:25.551068Z
50,nan,pruned,0.45,"{""fusion_method"": ""rrf"", ""rrf_k"": 60, ""score_normalization"": ""zscore_per_query"", ""top_k_final"": 16, ""top_k_rerank"": 16, ""top_k_retriever"": 32, ""use_multiv"": true, ""use_sparse"": false, ""w_dense"": 1.0, ""w_multiv"": 0.0, ""w_sparse"": 0.0}",2026-01-07T15:02:27.475821Z
51,nan,pruned,0.25,"{""fusion_method"": ""weighted_sum"", ""rrf_k"": 60, ""score_normalization"": ""none"", ""top_k_final"": 16, ""top_k_rerank"": 16, ""top_k_retriever"": 200, ""use_multiv"": false, ""use_sparse"": false, ""w_dense"": 0.3790797591376584, ""w_multiv"": 0.39542916630045705, ""w_sparse"": 0.22549107456188452}",2026-01-07T15:02:29.661152Z
52,nan,pruned,1.25,"{""fusion_method"": ""weighted_sum"", ""rrf_k"": 60, ""score_normalization"": ""none"", ""top_k_final"": 16, ""top_k_rerank"": 16, ""top_k_retriever"": 200, ""use_multiv"": false, ""use_sparse"": false, ""w_dense"": 0.33340687326329543, ""w_multiv"": 0.3681300385385233, ""w_sparse"": 0.2984630881981813}",2026-01-07T15:02:32.847313Z
53,nan,pruned,0.17,"{""fusion_method"": ""weighted_sum"", ""rrf_k"": 60, ""score_normalization"": ""none"", ""top_k_final"": 16, ""top_k_rerank"": 16, ""top_k_retriever"": 200, ""use_multiv"": false, ""use_sparse"": false, ""w_dense"": 0.5062235981922105, ""w_multiv"": 0.23376671534796226, ""w_sparse"": 0.26000968645982725}",2026-01-07T15:02:34.247852Z
54,nan,pruned,0.47,"{""fusion_method"": ""weighted_sum"", ""rrf_k"": 60, ""score_normalization"": ""none"", ""top_k_final"": 5, ""top_k_rerank"": 64, ""top_k_retriever"": 200, ""use_multiv"": false, ""use_sparse"": false, ""w_dense"": 0.29852204282932665, ""w_multiv"": 0.31075565235674935, ""w_sparse"": 0.39072230481392395}",2026-01-07T15:02:37.251379Z
55,nan,pruned,0.49,"{""fusion_method"": ""weighted_sum"", ""rrf_k"": 60, ""score_normalization"": ""none"", ""top_k_final"": 10, ""top_k_rerank"": 32, ""top_k_retriever"": 32, ""use_multiv"": false, ""use_sparse"": true, ""w_dense"": 0.25158304260834197, ""w_multiv"": 0.41499876723393897, ""w_sparse"": 0.33341819015771906}",2026-01-07T15:02:39.315487Z
56,nan,pruned,0.41,"{""fusion_method"": ""rrf"", ""rrf_k"": 60, ""score_normalization"": ""none"", ""top_k_final"": 1, ""top_k_rerank"": 32, ""top_k_retriever"": 150, ""use_multiv"": true, ""use_sparse"": true, ""w_dense"": 1.0, ""w_multiv"": 0.0, ""w_sparse"": 0.0}",2026-01-07T15:02:41.252310Z
57,nan,pruned,0.18,"{""fusion_method"": ""rrf"", ""rrf_k"": 60, ""score_normalization"": ""minmax_per_query"", ""top_k_final"": 16, ""top_k_rerank"": 16, ""top_k_retriever"": 32, ""use_multiv"": true, ""use_sparse"": false, ""w_dense"": 1.0, ""w_multiv"": 0.0, ""w_sparse"": 0.0}",2026-01-07T15:02:42.230896Z
58,nan,pruned,0.97,"{""fusion_method"": ""rrf"", ""rrf_k"": 60, ""score_normalization"": ""none"", ""top_k_final"": 20, ""top_k_rerank"": 64, ""top_k_retriever"": 128, ""use_multiv"": true, ""use_sparse"": true, ""w_dense"": 1.0, ""w_multiv"": 0.0, ""w_sparse"": 0.0}",2026-01-07T15:02:44.415804Z
59,nan,pruned,0.30,"{""fusion_method"": ""rrf"", ""rrf_k"": 60, ""score_normalization"": ""none"", ""top_k_final"": 20, ""top_k_rerank"": 32, ""top_k_retriever"": 32, ""use_multiv"": false, ""use_sparse"": false, ""w_dense"": 1.0, ""w_multiv"": 0.0, ""w_sparse"": 0.0}",2026-01-07T15:02:45.953540Z
60,nan,pruned,0.58,"{""fusion_method"": ""weighted_sum"", ""rrf_k"": 60, ""score_normalization"": ""minmax_per_query"", ""top_k_final"": 3, ""top_k_rerank"": 64, ""top_k_retriever"": 64, ""use_multiv"": true, ""use_sparse"": true, ""w_dense"": 0.5740854735415916, ""w_multiv"": 0.3270511998409702, ""w_sparse"": 0.09886332661743842}",2026-01-07T15:02:48.382779Z
61,nan,pruned,0.30,"{""fusion_method"": ""rrf"", ""rrf_k"": 60, ""score_normalization"": ""zscore_per_query"", ""top_k_final"": 5, ""top_k_rerank"": 32, ""top_k_retriever"": 100, ""use_multiv"": false, ""use_sparse"": false, ""w_dense"": 1.0, ""w_multiv"": 0.0, ""w_sparse"": 0.0}",2026-01-07T15:02:50.026887Z
62,nan,pruned,0.37,"{""fusion_method"": ""rrf"", ""rrf_k"": 60, ""score_normalization"": ""zscore_per_query"", ""top_k_final"": 5, ""top_k_rerank"": 32, ""top_k_retriever"": 100, ""use_multiv"": false, ""use_sparse"": false, ""w_dense"": 1.0, ""w_multiv"": 0.0, ""w_sparse"": 0.0}",2026-01-07T15:02:51.927084Z
63,nan,pruned,0.30,"{""fusion_method"": ""rrf"", ""rrf_k"": 60, ""score_normalization"": ""zscore_per_query"", ""top_k_final"": 5, ""top_k_rerank"": 32, ""top_k_retriever"": 100, ""use_multiv"": false, ""use_sparse"": false, ""w_dense"": 1.0, ""w_multiv"": 0.0, ""w_sparse"": 0.0}",2026-01-07T15:02:53.721057Z
64,nan,pruned,0.53,"{""fusion_method"": ""rrf"", ""rrf_k"": 60, ""score_normalization"": ""zscore_per_query"", ""top_k_final"": 5, ""top_k_rerank"": 50, ""top_k_retriever"": 100, ""use_multiv"": false, ""use_sparse"": false, ""w_dense"": 1.0, ""w_multiv"": 0.0, ""w_sparse"": 0.0}",2026-01-07T15:02:56.042188Z
65,nan,pruned,0.30,"{""fusion_method"": ""rrf"", ""rrf_k"": 60, ""score_normalization"": ""zscore_per_query"", ""top_k_final"": 20, ""top_k_rerank"": 32, ""top_k_retriever"": 200, ""use_multiv"": true, ""use_sparse"": false, ""w_dense"": 1.0, ""w_multiv"": 0.0, ""w_sparse"": 0.0}",2026-01-07T15:02:57.665621Z
66,nan,pruned,0.34,"{""fusion_method"": ""rrf"", ""rrf_k"": 60, ""score_normalization"": ""none"", ""top_k_final"": 20, ""top_k_rerank"": 32, ""top_k_retriever"": 32, ""use_multiv"": false, ""use_sparse"": true, ""w_dense"": 1.0, ""w_multiv"": 0.0, ""w_sparse"": 0.0}",2026-01-07T15:02:59.413675Z
67,nan,pruned,0.56,"{""fusion_method"": ""rrf"", ""rrf_k"": 60, ""score_normalization"": ""minmax_per_query"", ""top_k_final"": 10, ""top_k_rerank"": 64, ""top_k_retriever"": 64, ""use_multiv"": true, ""use_sparse"": false, ""w_dense"": 1.0, ""w_multiv"": 0.0, ""w_sparse"": 0.0}",2026-01-07T15:03:01.417759Z
68,nan,pruned,0.30,"{""fusion_method"": ""rrf"", ""rrf_k"": 60, ""score_normalization"": ""none"", ""top_k_final"": 1, ""top_k_rerank"": 32, ""top_k_retriever"": 32, ""use_multiv"": true, ""use_sparse"": false, ""w_dense"": 1.0, ""w_multiv"": 0.0, ""w_sparse"": 0.0}",2026-01-07T15:03:03.072098Z
69,nan,pruned,0.32,"{""fusion_method"": ""rrf"", ""rrf_k"": 60, ""score_normalization"": ""zscore_per_query"", ""top_k_final"": 20, ""top_k_rerank"": 32, ""top_k_retriever"": 100, ""use_multiv"": true, ""use_sparse"": true, ""w_dense"": 1.0, ""w_multiv"": 0.0, ""w_sparse"": 0.0}",2026-01-07T15:03:04.979929Z
70,0.715776,complete,3.00,"{""fusion_method"": ""weighted_sum"", ""rrf_k"": 60, ""score_normalization"": ""none"", ""top_k_final"": 16, ""top_k_rerank"": 16, ""top_k_retriever"": 32, ""use_multiv"": false, ""use_sparse"": false, ""w_dense"": 0.11437375588813872, ""w_multiv"": 0.6169208740211903, ""w_sparse"": 0.2687053700906709}",2026-01-07T15:03:09.673989Z
71,nan,pruned,0.44,"{""fusion_method"": ""weighted_sum"", ""rrf_k"": 60, ""score_normalization"": ""none"", ""top_k_final"": 16, ""top_k_rerank"": 16, ""top_k_retriever"": 32, ""use_multiv"": false, ""use_sparse"": false, ""w_dense"": 0.10295545941567023, ""w_multiv"": 0.6152249794175514, ""w_sparse"": 0.2818195611667785}",2026-01-07T15:03:11.745935Z
