trial_number,metric,status,duration_sec,params,timestamp
28,nan,pruned,0.00,"{""fusion_method"": ""rrf"", ""rrf_k"": 60, ""score_normalization"": ""zscore_per_query"", ""top_k_final"": 10, ""top_k_retriever"": 8, ""use_multiv"": true, ""use_sparse"": true, ""w_dense"": 1.0, ""w_multiv"": 0.0, ""w_sparse"": 0.0}",2026-01-07T11:32:22.684472Z
29,nan,pruned,0.27,"{""fusion_method"": ""rrf"", ""rrf_k"": 60, ""score_normalization"": ""none"", ""top_k_final"": 3, ""top_k_retriever"": 24, ""use_multiv"": true, ""use_sparse"": false, ""w_dense"": 1.0, ""w_multiv"": 0.0, ""w_sparse"": 0.0}",2026-01-07T11:32:24.100028Z
30,0.674965,complete,9.76,"{""fusion_method"": ""rrf"", ""rrf_k"": 60, ""score_normalization"": ""minmax_per_query"", ""top_k_final"": 5, ""top_k_retriever"": 48, ""use_multiv"": false, ""use_sparse"": false, ""w_dense"": 1.0, ""w_multiv"": 0.0, ""w_sparse"": 0.0}",2026-01-07T11:32:51.428780Z
31,nan,pruned,0.32,"{""fusion_method"": ""rrf"", ""rrf_k"": 60, ""score_normalization"": ""minmax_per_query"", ""top_k_final"": 5, ""top_k_retriever"": 48, ""use_multiv"": false, ""use_sparse"": false, ""w_dense"": 1.0, ""w_multiv"": 0.0, ""w_sparse"": 0.0}",2026-01-07T11:32:52.892133Z
32,nan,pruned,0.25,"{""fusion_method"": ""rrf"", ""rrf_k"": 60, ""score_normalization"": ""minmax_per_query"", ""top_k_final"": 5, ""top_k_retriever"": 48, ""use_multiv"": false, ""use_sparse"": false, ""w_dense"": 1.0, ""w_multiv"": 0.0, ""w_sparse"": 0.0}",2026-01-07T11:32:54.178985Z
33,nan,pruned,0.30,"{""fusion_method"": ""rrf"", ""rrf_k"": 60, ""score_normalization"": ""minmax_per_query"", ""top_k_final"": 5, ""top_k_retriever"": 48, ""use_multiv"": false, ""use_sparse"": false, ""w_dense"": 1.0, ""w_multiv"": 0.0, ""w_sparse"": 0.0}",2026-01-07T11:32:55.666198Z
34,nan,pruned,0.56,"{""fusion_method"": ""rrf"", ""rrf_k"": 60, ""score_normalization"": ""minmax_per_query"", ""top_k_final"": 5, ""top_k_retriever"": 16, ""use_multiv"": false, ""use_sparse"": false, ""w_dense"": 1.0, ""w_multiv"": 0.0, ""w_sparse"": 0.0}",2026-01-07T11:32:57.562455Z
35,nan,pruned,2.41,"{""fusion_method"": ""rrf"", ""rrf_k"": 60, ""score_normalization"": ""minmax_per_query"", ""top_k_final"": 1, ""top_k_retriever"": 48, ""use_multiv"": true, ""use_sparse"": false, ""w_dense"": 1.0, ""w_multiv"": 0.0, ""w_sparse"": 0.0}",2026-01-07T11:33:00.735564Z
36,nan,pruned,0.21,"{""fusion_method"": ""weighted_sum"", ""rrf_k"": 60, ""score_normalization"": ""minmax_per_query"", ""top_k_final"": 3, ""top_k_retriever"": 64, ""use_multiv"": false, ""use_sparse"": true, ""w_dense"": 0.017214957045985427, ""w_multiv"": 0.9538680212009332, ""w_sparse"": 0.02891702175308136}",2026-01-07T11:33:07.164072Z
37,nan,pruned,0.24,"{""fusion_method"": ""rrf"", ""rrf_k"": 60, ""score_normalization"": ""minmax_per_query"", ""top_k_final"": 10, ""top_k_retriever"": 16, ""use_multiv"": true, ""use_sparse"": false, ""w_dense"": 1.0, ""w_multiv"": 0.0, ""w_sparse"": 0.0}",2026-01-07T11:33:08.305750Z
0,0.641019,complete,1.46,"{""fusion_method"": ""weighted_sum"", ""rrf_k"": 60, ""score_normalization"": ""minmax_per_query"", ""top_k_final"": 10, ""top_k_retriever"": 16, ""use_multiv"": false, ""use_sparse"": true, ""w_dense"": 0.26211269914077673, ""w_multiv"": 0.4091868023583117, ""w_sparse"": 0.32870049850091154}",2026-01-07T11:34:26.317794Z
1,0.637905,complete,2.19,"{""fusion_method"": ""rrf"", ""rrf_k"": 60, ""score_normalization"": ""minmax_per_query"", ""top_k_final"": 3, ""top_k_retriever"": 8, ""use_multiv"": false, ""use_sparse"": true, ""w_dense"": 1.0, ""w_multiv"": 0.0, ""w_sparse"": 0.0}",2026-01-07T11:34:29.269985Z
2,nan,pruned,0.30,"{""fusion_method"": ""rrf"", ""rrf_k"": 60, ""score_normalization"": ""minmax_per_query"", ""top_k_final"": 1, ""top_k_retriever"": 32, ""use_multiv"": true, ""use_sparse"": true, ""w_dense"": 1.0, ""w_multiv"": 0.0, ""w_sparse"": 0.0}",2026-01-07T11:34:30.721538Z
3,nan,pruned,0.00,"{""fusion_method"": ""weighted_sum"", ""rrf_k"": 60, ""score_normalization"": ""none"", ""top_k_final"": 10, ""top_k_retriever"": 8, ""use_multiv"": false, ""use_sparse"": true, ""w_dense"": 0.3504359664243004, ""w_multiv"": 0.27577028347869864, ""w_sparse"": 0.373793750097001}",2026-01-07T11:34:39.806193Z
4,nan,pruned,0.74,"{""fusion_method"": ""rrf"", ""rrf_k"": 60, ""score_normalization"": ""zscore_per_query"", ""top_k_final"": 5, ""top_k_retriever"": 8, ""use_multiv"": false, ""use_sparse"": true, ""w_dense"": 1.0, ""w_multiv"": 0.0, ""w_sparse"": 0.0}",2026-01-07T11:34:48.898731Z
5,0.690276,complete,2.52,"{""fusion_method"": ""rrf"", ""rrf_k"": 60, ""score_normalization"": ""zscore_per_query"", ""top_k_final"": 10, ""top_k_retriever"": 64, ""use_multiv"": true, ""use_sparse"": true, ""w_dense"": 1.0, ""w_multiv"": 0.0, ""w_sparse"": 0.0}",2026-01-07T11:34:52.289277Z
